q,d,d,d,q,d,q,d,d,d,d,d,d,q,q,q,q,q,d,d,d,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,d,d,d,q,q,q,q,d
32859,TableScan_Group,114051,8000000,128000000,31,2,true,ore,false,false,true,false,100000000,true,true,900,true,true,true,false,10,4,130,80,5,.6,1.00,.4,.9,.4,1900,.75,100,40,3,1,1664,1536,1792,2,false,true,BLOCK,792
20899,TableScan_Select,114051,8000000,128000000,1,2,true,ore,false,false,true,false,100000000,true,true,900,true,true,true,false,10,4,130,80,5,.6,1.00,.4,.9,.4,1900,.75,100,40,3,1,1664,1536,1792,2,false,true,BLOCK,792
248.934,5
45396,TableScan_Join,7650000,8000000,448000000,32,4,true,inial,true,true,true,true,60000000,true,false,500,false,false,true,false,12,6,130,70,20,.9,.90,.2,.6,.1,1800,.65,70,60,4,2,1408,1408,1920,1,false,true,BLOCK,452
58159,TableScan_Join,33686779,8000000,448000000,32,4,true,inial,true,true,true,true,60000000,true,false,500,false,false,true,false,12,6,130,70,20,.9,.90,.2,.6,.1,1800,.65,70,60,4,2,1408,1408,1920,1,false,true,BLOCK,452
34187,TableScan_Group,114051,8000000,448000000,32,4,true,inial,true,true,true,true,60000000,true,false,500,false,false,true,false,12,6,130,70,20,.9,.90,.2,.6,.1,1800,.65,70,60,4,2,1408,1408,1920,1,false,true,BLOCK,452
32389,TableScan_Group,114051,8000000,448000000,32,4,true,inial,true,true,true,true,60000000,true,false,500,false,false,true,false,12,6,130,70,20,.9,.90,.2,.6,.1,1800,.65,70,60,4,2,1408,1408,1920,1,false,true,BLOCK,452
20554,TableScan_Select,114051,8000000,448000000,1,4,true,inial,true,true,true,true,60000000,true,false,500,false,false,true,false,12,6,130,70,20,.9,.90,.2,.6,.1,1800,.65,70,60,4,2,1408,1408,1920,1,false,true,BLOCK,452
287.591,5
70901,TableScan_Join,7650000,8000000,256000000,26,1,true,inial,true,true,true,false,90000000,false,false,1000,false,true,false,false,8,12,120,80,10,1.0,1.00,.2,.8,.6,600,1.00,40,60,1,3,1280,1408,1408,4,true,false,BLOCK,690
82542,TableScan_Join,33686779,8000000,256000000,26,1,true,inial,true,true,true,false,90000000,false,false,1000,false,true,false,false,8,12,120,80,10,1.0,1.00,.2,.8,.6,600,1.00,40,60,1,3,1280,1408,1408,4,true,false,BLOCK,690
33575,TableScan_Group,114051,8000000,256000000,26,1,true,inial,true,true,true,false,90000000,false,false,1000,false,true,false,false,8,12,120,80,10,1.0,1.00,.2,.8,.6,600,1.00,40,60,1,3,1280,1408,1408,4,true,false,BLOCK,690
32935,TableScan_Group,114051,8000000,256000000,26,1,true,inial,true,true,true,false,90000000,false,false,1000,false,true,false,false,8,12,120,80,10,1.0,1.00,.2,.8,.6,600,1.00,40,60,1,3,1280,1408,1408,4,true,false,BLOCK,690
22951,TableScan_Select,114051,8000000,256000000,1,1,true,inial,true,true,true,false,90000000,false,false,1000,false,true,false,false,8,12,120,80,10,1.0,1.00,.2,.8,.6,600,1.00,40,60,1,3,1280,1408,1408,4,true,false,BLOCK,690
399.243,5
80911,TableScan_Join,38235000,40000000,448000000,24,2,false,none,true,false,true,false,70000000,true,false,900,true,false,true,false,12,10,110,80,20,.6,.70,.2,.8,.7,2000,.60,30,40,2,1,1664,1664,1152,2,true,true,BLOCK,817
198884,TableScan_Join,168560989,40000000,448000000,24,2,false,none,true,false,true,false,70000000,true,false,900,true,false,true,false,12,10,110,80,20,.6,.70,.2,.8,.7,2000,.60,30,40,2,1,1664,1664,1152,2,true,true,BLOCK,817
30642,TableScan_Group,1499110,40000000,448000000,24,2,false,none,true,false,true,false,70000000,true,false,900,true,false,true,false,12,10,110,80,20,.6,.70,.2,.8,.7,2000,.60,30,40,2,1,1664,1664,1152,2,true,true,BLOCK,817
30019,TableScan_Group,1419695,40000000,448000000,24,2,false,none,true,false,true,false,70000000,true,false,900,true,false,true,false,12,10,110,80,20,.6,.70,.2,.8,.7,2000,.60,30,40,2,1,1664,1664,1152,2,true,true,BLOCK,817
17026,TableScan_Select,566703,40000000,448000000,1,2,false,none,true,false,true,false,70000000,true,false,900,true,false,true,false,12,10,110,80,20,.6,.70,.2,.8,.7,2000,.60,30,40,2,1,1664,1664,1152,2,true,true,BLOCK,817
169.511,4
41422,TableScan_Join,7650000,8000000,256000000,23,2,true,inial,true,true,false,false,90000000,true,false,800,false,true,false,true,12,4,150,30,20,.6,.80,.4,.7,.8,500,.45,40,40,3,3,1408,1408,1408,2,false,false,BLOCK,312
47877,TableScan_Join,33686779,8000000,256000000,23,2,true,inial,true,true,false,false,90000000,true,false,800,false,true,false,true,12,4,150,30,20,.6,.80,.4,.7,.8,500,.45,40,40,3,3,1408,1408,1408,2,false,false,BLOCK,312
26937,TableScan_Group,114051,8000000,256000000,23,2,true,inial,true,true,false,false,90000000,true,false,800,false,true,false,true,12,4,150,30,20,.6,.80,.4,.7,.8,500,.45,40,40,3,3,1408,1408,1408,2,false,false,BLOCK,312
17861,TableScan_Select,114051,8000000,256000000,1,2,true,inial,true,true,false,false,90000000,true,false,800,false,true,false,true,12,4,150,30,20,.6,.80,.4,.7,.8,500,.45,40,40,3,3,1408,1408,1408,2,false,false,BLOCK,312
175.323,5
57199,TableScan_Join,3830000,4000000,256000000,4,1,false,none,false,false,true,true,30000000,false,false,500,true,true,false,true,6,12,150,30,5,1.0,.90,.5,.7,.7,600,.30,30,50,1,1,1664,1536,1536,2,true,true,RECORD,274
12641,TableScan_None,16109795,4000000,256000000,0,1,false,none,false,false,true,true,30000000,false,false,500,true,true,false,true,6,12,150,30,5,1.0,.90,.5,.7,.7,600,.30,30,50,1,1,1664,1536,1536,2,true,true,RECORD,274
14317,TableScan_Group,150607,4000000,256000000,4,1,false,none,false,false,true,true,30000000,false,false,500,true,true,false,true,6,12,150,30,5,1.0,.90,.5,.7,.7,600,.30,30,50,1,1,1664,1536,1536,2,true,true,RECORD,274
14275,TableScan_Group,110830,4000000,256000000,4,1,false,none,false,false,true,true,30000000,false,false,500,true,true,false,true,6,12,150,30,5,1.0,.90,.5,.7,.7,600,.30,30,50,1,1,1664,1536,1536,2,true,true,RECORD,274
14905,TableScan_Select,57114,4000000,256000000,1,1,false,none,false,false,true,true,30000000,false,false,500,true,true,false,true,6,12,150,30,5,1.0,.90,.5,.7,.7,600,.30,30,50,1,1,1664,1536,1536,2,true,true,RECORD,274
213.075,5
36002,TableScan_Join,3830000,4000000,512000000,31,3,false,none,false,false,true,false,40000000,false,true,700,false,true,false,true,12,2,130,80,15,.8,1.00,.3,.8,.1,600,.25,100,50,1,2,1408,1664,1152,4,false,true,BLOCK,637
46923,TableScan_Join,16846358,4000000,512000000,31,3,false,none,false,false,true,false,40000000,false,true,700,false,true,false,true,12,2,130,80,15,.8,1.00,.3,.8,.1,600,.25,100,50,1,2,1408,1664,1152,4,false,true,BLOCK,637
33293,TableScan_Group,150607,4000000,512000000,31,3,false,none,false,false,true,false,40000000,false,true,700,false,true,false,true,12,2,130,80,15,.8,1.00,.3,.8,.1,600,.25,100,50,1,2,1408,1664,1152,4,false,true,BLOCK,637
31354,TableScan_Group,144374,4000000,512000000,31,3,false,none,false,false,true,false,40000000,false,true,700,false,true,false,true,12,2,130,80,15,.8,1.00,.3,.8,.1,600,.25,100,50,1,2,1408,1664,1152,4,false,true,BLOCK,637
18234,TableScan_Select,57114,4000000,512000000,1,3,false,none,false,false,true,false,40000000,false,true,700,false,true,false,true,12,2,130,80,15,.8,1.00,.3,.8,.1,600,.25,100,50,1,2,1408,1664,1152,4,false,true,BLOCK,637
160.937,5
13242,TableScan_None,3670000,4000000,448000000,0,2,true,ore,true,true,true,true,60000000,false,true,1000,true,false,false,false,8,4,120,80,5,.8,.75,.3,.5,.2,500,1.00,40,40,2,2,1024,1664,1536,2,false,true,BLOCK,921
34166,TableScan_None,16109795,4000000,448000000,0,2,true,ore,true,true,true,true,60000000,false,true,1000,true,false,false,false,8,4,120,80,5,.8,.75,.3,.5,.2,500,1.00,40,40,2,2,1024,1664,1536,2,false,true,BLOCK,921
14421,TableScan_Group,117186,4000000,448000000,1,2,true,ore,true,true,true,true,60000000,false,true,1000,true,false,false,false,8,4,120,80,5,.8,.75,.3,.5,.2,500,1.00,40,40,2,2,1024,1664,1536,2,false,true,BLOCK,921
13707,TableScan_Group,57114,4000000,448000000,1,2,true,ore,true,true,true,true,60000000,false,true,1000,true,false,false,false,8,4,120,80,5,.8,.75,.3,.5,.2,500,1.00,40,40,2,2,1024,1664,1536,2,false,true,BLOCK,921
14138,TableScan_Select,57114,4000000,448000000,1,2,true,ore,true,true,true,true,60000000,false,true,1000,true,false,false,false,8,4,120,80,5,.8,.75,.3,.5,.2,500,1.00,40,40,2,2,1024,1664,1536,2,false,true,BLOCK,921
124.047,4
15482,TableScan_None,3670000,4000000,384000000,0,2,false,ore,true,false,false,true,80000000,false,true,900,false,true,false,false,2,12,100,70,20,.9,.95,.4,.9,.4,900,.10,90,60,1,4,1280,1280,1408,3,false,true,RECORD,286
14525,TableScan_None,16109795,4000000,384000000,0,2,false,ore,true,false,false,true,80000000,false,true,900,false,true,false,false,2,12,100,70,20,.9,.95,.4,.9,.4,900,.10,90,60,1,4,1280,1280,1408,3,false,true,RECORD,286
15575,TableScan_Group,150607,4000000,384000000,9,2,false,ore,true,false,false,true,80000000,false,true,900,false,true,false,false,2,12,100,70,20,.9,.95,.4,.9,.4,900,.10,90,60,1,4,1280,1280,1408,3,false,true,RECORD,286
12916,TableScan_Select,57114,4000000,384000000,1,2,false,ore,true,false,false,true,80000000,false,true,900,false,true,false,false,2,12,100,70,20,.9,.95,.4,.9,.4,900,.10,90,60,1,4,1280,1280,1408,3,false,true,RECORD,286
423.487,4
67042,TableScan_Join,19110000,20000000,256000000,2,2,false,none,false,false,false,true,30000000,false,false,600,true,true,false,true,12,12,100,70,20,.6,.85,.4,.6,.8,1300,.05,40,40,3,3,1408,1664,2048,1,true,true,RECORD,212
285101,TableScan_Join,84260100,20000000,256000000,2,2,false,none,false,false,false,true,30000000,false,false,600,true,true,false,true,12,12,100,70,20,.6,.85,.4,.6,.8,1300,.05,40,40,3,3,1408,1664,2048,1,true,true,RECORD,212
17429,TableScan_Group,751841,20000000,256000000,2,2,false,none,false,false,false,true,30000000,false,false,600,true,true,false,true,12,12,100,70,20,.6,.85,.4,.6,.8,1300,.05,40,40,3,3,1408,1664,2048,1,true,true,RECORD,212
13766,TableScan_Select,284147,20000000,256000000,1,2,false,none,false,false,false,true,30000000,false,false,600,true,true,false,true,12,12,100,70,20,.6,.85,.4,.6,.8,1300,.05,40,40,3,3,1408,1664,2048,1,true,true,RECORD,212
159.441,4
33172,TableScan_Join,7650000,8000000,128000000,21,1,false,ore,true,false,false,false,50000000,true,false,700,true,true,false,false,6,10,140,50,5,.6,.80,.5,.6,.4,500,.20,20,50,1,2,1664,1536,1152,3,false,false,BLOCK,672
48257,TableScan_Join,33686779,8000000,128000000,21,1,false,ore,true,false,false,false,50000000,true,false,700,true,true,false,false,6,10,140,50,5,.6,.80,.5,.6,.4,500,.20,20,50,1,2,1664,1536,1152,3,false,false,BLOCK,672
25946,TableScan_Group,301828,8000000,128000000,21,1,false,ore,true,false,false,false,50000000,true,false,700,true,true,false,false,6,10,140,50,5,.6,.80,.5,.6,.4,500,.20,20,50,1,2,1664,1536,1152,3,false,false,BLOCK,672
16015,TableScan_Select,114051,8000000,128000000,1,1,false,ore,true,false,false,false,50000000,true,false,700,true,true,false,false,6,10,140,50,5,.6,.80,.5,.6,.4,500,.20,20,50,1,2,1664,1536,1152,3,false,false,BLOCK,672
151.357,4
36737,TableScan_Join,7650000,8000000,320000000,11,4,true,ore,true,true,false,true,30000000,false,false,900,true,false,false,false,6,12,100,50,5,.7,.75,.3,.8,.6,1800,.40,40,40,3,4,1024,1152,1664,4,false,true,BLOCK,860
